Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
MA Wood,3.0,-,26,3,8.66,England,v Sri Lanka,Sydney,05 Nov 2022,T20I # 1867
PWH de Silva,4.0,-,28,3,7.0,Sri Lanka,v Netherlands,Geelong,20 Oct 2022,T20I # 1835
BJ McCarthy,4.0,-,29,3,7.25,Ireland,v Australia,Brisbane,31 Oct 2022,T20I # 1855
PA van Meekeren,4.0,-,29,3,7.25,Netherlands,v Zimbabwe,Adelaide,02 Nov 2022,T20I # 1859
HH Pandya,4.0,-,30,3,7.5,India,v Pakistan,Melbourne,23 Oct 2022,T20I # 1842
MJ Santner,4.0,-,31,3,7.75,New Zealand,v Australia,Sydney,22 Oct 2022,T20I # 1839
Arshdeep Singh,4.0,-,32,3,8.0,India,v Pakistan,Melbourne,23 Oct 2022,T20I # 1842
MA Wood,4.0,-,34,3,8.5,England,v Ireland,Melbourne,26 Oct 2022,T20I # 1846
CJ Jordan,4.0,-,43,3,10.75,England,v India,Adelaide,10 Nov 2022,T20I # 1878
Hasan Mahmud,4.0,-,47,3,11.75,Bangladesh,v India,Adelaide,02 Nov 2022,T20I # 1860
C Campher,2.0,-,9,2,4.5,Ireland,v Scotland,Hobart,19 Oct 2022,T20I # 1833
B Kumar,3.0,2,9,2,3.0,India,v Netherlands,Sydney,27 Oct 2022,T20I # 1848
SC Williams,2.0,-,9,2,4.5,Zimbabwe,v India,Melbourne,06 Nov 2022,T20I # 1873
FJ Klaassen,4.0,-,13,2,3.25,Netherlands,v U.A.E.,Geelong,16 Oct 2022,T20I # 1825
